App	GitHub URL	Docker Image(s)	Status	Remark	Type
rawdog	https://github.com/AbanteAI/rawdog	hoomzoom/rawdog	success	CLI tool.	cli
RD-Agent	https://github.com/microsoft/RD-Agent	hoomzoom/rd-agent	success	Streamlit + CLI.	server
slide-deck-ai	https://github.com/barun-saha/slide-deck-ai	hoomzoom/slidedeckai	success	Streamlit app.	server
stride-gpt	https://github.com/mrwadams/stride-gpt	hoomzoom/stride-gpt	success	Streamlit app.	server
SWE-agent	https://github.com/SWE-agent/SWE-agent	hoomzoom/swe-agent	success	Web UI + CLI. Needs Docker socket access.	server
TaskWeaver	https://github.com/microsoft/TaskWeaver	hoomzoom/taskweaver	success	Chainlit app.	server
TradingAgents	https://github.com/TauricResearch/TradingAgents	hoomzoom/tradingagents	success	CLI tool.	cli
zshot	https://github.com/IBM/zshot	hoomzoom/zshot	success	FastAPI app.	server
AiNiee	https://github.com/NEKOparapa/AiNiee		fail	Desktop GUI (PyQt5), no headless mode. Cannot be containerized.	cannot deploy
autoMate	https://github.com/yuruotong1/autoMate		fail	Desktop RPA, requires GUI and mouse/keyboard control. Cannot be containerized.	cannot deploy
home-llm	https://github.com/acon96/home-llm		fail	Home Assistant integration, not standalone. Cannot be containerized.	cannot deploy
itext2kg	https://github.com/AuvaLab/itext2kg		fail	Library only, no web interface or entry point. Cannot be containerized.	cannot deploy
MedRAX	https://github.com/bowang-lab/MedRAX		fail	Needs 12-16GB+ VRAM, multiple medical imaging models. Cannot be containerized.	cannot deploy
TaskMatrix	https://github.com/chenfei-wu/TaskMatrix		fail	Needs 16GB+ VRAM (multiple vision models). Cannot be containerized.	cannot deploy
whispering	https://github.com/Sharrnah/whispering		fail	Requires microphone/audio device access. Cannot be containerized.	cannot deploy
Windrecorder	https://github.com/Antonoko/Windrecorder		fail	Windows-only desktop app, requires screen capture. Cannot be containerized.	cannot deploy
aider	https://github.com/Aider-AI/aider	hoomzoom/aider	success	CLI tool. Installed from PyPI. QC: --help passes.	cli
BabelDOC	https://github.com/funstory-ai/BabelDOC	hoomzoom/babeldoc	success	CLI PDF translator. QC: --help passes.	cli
BallonsTranslator	https://github.com/dmMaze/BallonsTranslator	hoomzoom/ballonstranslator	success	CLI headless manga translator. QC: torch+cv2 import passes. CPU-only PyTorch.	cli
BiliNote	https://github.com/JefferyHcool/BiliNote	hoomzoom/bilinote	success	FastAPI backend (port 8483). Conditional: needs --security-opt seccomp=unconfined for ctranslate2.	server
browser-use	https://github.com/browser-use/browser-use	hoomzoom/browser-use	success	CLI/Library. Playwright+Chromium. QC: --help passes.	cli
BruteForceAI	https://github.com/MorDavid/BruteForceAI	hoomzoom/bruteforceai	success	CLI. Playwright. QC: import passes.	cli
ChatDev	https://github.com/OpenBMB/ChatDev	hoomzoom/chatdev	success	FastAPI backend (port 6400). QC: /docs returns 200.	server
chatgpt_telegram_bot	https://github.com/father-bot/chatgpt_telegram_bot	hoomzoom/chatgpt-telegram-bot	success	Telegram bot + MongoDB compose. QC: telegram import passes.	server
DATAGEN	https://github.com/starpig1129/DATAGEN	hoomzoom/datagen	success	CLI with Chrome+ChromeDriver. QC: langchain import passes.	cli
Decepticon	https://github.com/PurpleAILAB/Decepticon	(pre-built images)	success	Compose-only deployment. Uses upstream pre-built images via docker-compose.	server
DeepGit	https://github.com/zamalali/DeepGit	hoomzoom/deepgit	success	Gradio (port 7860). QC: /gradio_api/info returns 200 from host.	server
deepwiki-open	https://github.com/AsyncFuncAI/deepwiki-open	hoomzoom/deepwiki-open	success	Next.js+FastAPI (ports 3000, 8001). QC: fastapi import passes.	server
docetl	https://github.com/ucbepic/docetl	hoomzoom/docetl	success	FastAPI+Next.js (ports 3000, 8000). QC: image built and pushed.	server
FinGenius	https://github.com/HuaYaoAI/FinGenius	hoomzoom/fingenius	success	CLI financial analysis. QC: main.py --help passes.	cli
gpt-pilot	https://github.com/Pythagora-io/gpt-pilot	hoomzoom/gpt-pilot	success	CLI (custom slim Dockerfile, no code-server). QC: import passes.	cli
hackingBuddyGPT	https://github.com/ipa-lab/hackingBuddyGPT	hoomzoom/hackingbuddygpt	success	CLI pentest framework. QC: wintermute --help passes.	cli
hcaptcha-challenger	https://github.com/QIN2DIM/hcaptcha-challenger	hoomzoom/hcaptcha-challenger	success	CLI+optional FastAPI. Playwright. QC: import passes.	cli
MoneyPrinterTurbo	https://github.com/harry0703/MoneyPrinterTurbo	hoomzoom/moneyprinterturbo	success	Streamlit+FastAPI. QC: streamlit import passes. Needs config.toml for full startup.	server
morphik-core	https://github.com/morphik-org/morphik-core	hoomzoom/morphik-core	success	FastAPI+worker+PostgreSQL+Redis compose. CPU-only torch. QC: fastapi import passes.	server
Open-LLM-VTuber	https://github.com/Open-LLM-VTuber/Open-LLM-VTuber	hoomzoom/open-llm-vtuber	success	FastAPI/WebSocket (port 12393). QC: fastapi import passes. Needs conf.yaml volume mount.	server
pr-agent	https://github.com/qodo-ai/pr-agent	hoomzoom/pr-agent	success	FastAPI webhook (port 3000). QC: import passes.	server
PocketFlow-Tutorial-Codebase-Knowledge	https://github.com/The-Pocket/PocketFlow-Tutorial-Codebase-Knowledge	hoomzoom/pocketflow	success	CLI codebase tutorial generator. QC: main.py runs.	cli
readme-ai	https://github.com/eli64s/readme-ai	hoomzoom/readme-ai	success	CLI README generator. QC: --help passes.	cli
skyvern	https://github.com/Skyvern-AI/skyvern	hoomzoom/skyvern	success	FastAPI+Playwright+VNC compose (ports 8000, 6080). QC: import passes.	server
vulnhuntr	https://github.com/protectai/vulnhuntr	hoomzoom/vulnhuntr	success	CLI vuln scanner. QC: --help passes.	cli
ai-goofish-monitor	https://github.com/Usagi-org/ai-goofish-monitor	hoomzoom/ai-goofish-monitor	success	FastAPI+Vue (port 8000). Playwright. QC: fastapi import passes.	server
AI_NovelGenerator	https://github.com/YILING0013/AI_NovelGenerator		fail	Desktop GUI (CustomTkinter), no headless mode.	cannot deploy
AppAgent	https://github.com/TencentQQGYLab/AppAgent		fail	Requires Android device/ADB. No standalone mode.	cannot deploy
Cradle	https://github.com/BAAI-Agents/Cradle		fail	Windows GUI automation (pyautogui, ahk). Requires desktop + ADB.	cannot deploy
ExtractThinker	https://github.com/enoch3712/ExtractThinker		fail	Library only, no entry point or web interface.	cannot deploy
GLaDOS	https://github.com/dnhkng/GLaDOS		fail	Voice assistant requiring microphone/speaker hardware.	cannot deploy
Open-Interface	https://github.com/AmberSahdev/Open-Interface		fail	Desktop GUI (Tkinter), controls host mouse/keyboard. macOS-only deps.	cannot deploy
pandas-ai	https://github.com/sinaptik-ai/pandas-ai		fail	Library only. docker-compose references missing server/client dirs.	cannot deploy
UFO	https://github.com/microsoft/UFO		fail	Windows GUI automation agent (pywinauto, pywin32, UIA).	cannot deploy
wiseflow	https://github.com/TeamWiseFlow/wiseflow		fail	Requires real non-headless Chrome browser. No Docker support.	cannot deploy
